,context,question,answer
0,"Notre Dame alumni work in various fields. Alumni working in political fields include state governors, members of the United States Congress, and former United States Secretary of State Condoleezza Rice. A notable alumnus of the College of Science is Medicine Nobel Prize winner Eric F. Wieschaus. A number of university heads are alumni, including Notre Dame's current president, the Rev. John Jenkins. Additionally, many alumni are in the media, including talk show hosts Regis Philbin and Phil Donahue, and television and radio personalities such as Mike Golic and Hannah Storm. With the university having high profile sports teams itself, a number of alumni went on to become involved in athletics outside the university, including professional baseball, basketball, football, and ice hockey players, such as Joe Theismann, Joe Montana, Tim Brown, Ross Browner, Rocket Ismail, Ruth Riley, Jeff Samardzija, Jerome Bettis, Brett Lebda, Olympic gold medalist Mariel Zagunis, professional boxer Mike Lee, former football coaches such as Charlie Weis, Frank Leahy and Knute Rockne, and Basketball Hall of Famers Austin Carr and Adrian Dantley. Other notable alumni include prominent businessman Edward J. DeBartolo, Jr. and astronaut Jim Wetherbee.","['Which Secretary of State attended Notre Dame?', 'Which Notre Dame alum from the College of Science won a Nobel Prize?', 'Who is the current president of Notre Dame?', 'Mariel Zagunis is notable for winning what?', 'Which notable astronaut is known to have attended Notre Dame?']","['Condoleezza Rice', 'Eric F. Wieschaus', 'Rev. John Jenkins', 'Olympic gold', 'Jim Wetherbee']"
1,"In December, Beyoncé along with a variety of other celebrities teamed up and produced a video campaign for ""Demand A Plan"", a bipartisan effort by a group of 950 US mayors and others designed to influence the federal government into rethinking its gun control laws, following the Sandy Hook Elementary School shooting. Beyoncé became an ambassador for the 2012 World Humanitarian Day campaign donating her song ""I Was Here"" and its music video, shot in the UN, to the campaign. In 2013, it was announced that Beyoncé would work with Salma Hayek and Frida Giannini on a Gucci ""Chime for Change"" campaign that aims to spread female empowerment. The campaign, which aired on February 28, was set to her new music. A concert for the cause took place on June 1, 2013 in London and included other acts like Ellie Goulding, Florence and the Machine, and Rita Ora. In advance of the concert, she appeared in a campaign video released on 15 May 2013, where she, along with Cameron Diaz, John Legend and Kylie Minogue, described inspiration from their mothers, while a number of other artists celebrated personal inspiration from other women, leading to a call for submission of photos of women of viewers' inspiration from which a selection was shown at the concert. Beyoncé said about her mother Tina Knowles that her gift was ""finding the best qualities in every human being."" With help of the crowdfunding platform Catapult, visitors of the concert could choose between several projects promoting education of women and girls. Beyoncé is also taking part in ""Miss a Meal"", a food-donation campaign, and supporting Goodwill charity through online charity auctions at Charitybuzz that support job creation throughout Europe and the U.S.","['Which national event caused Beyonce to produce ""Demand a Plan?""', 'What song did Beyonce contribute to the campaign?', 'Beyonce is contributing to which food-donation campaign?', 'On June 1 , 2013 where was the concert held for ""a Chime for Change""?', 'Beyonce was speaking about whom when she said her gift was ""finding the best qualities in every human being.""?', 'The Demand a Plan video campaign followed what tragic event?', 'What was the focus of the Gucci Chime for Change campaign?', 'What crowdfunding platform was used in the concert?', 'What is the name of the campaign that Beyoncé and others are involved in that deals with gun control?', 'What school shooting prompted the creation of Demand A Plan?', 'What song did Beyoncé donate to the 2012 World Humanitarian Day campaign?', 'Who did Beyoncé work with in 2013 on the Chime for Change campaign?']","['Sandy Hook Elementary School shooting', 'I Was Here', 'Miss a Meal', 'London', 'her mother', 'Sandy Hook Elementary School shooting.', 'spread female empowerment', 'Catapult', 'Demand A Plan', 'Sandy Hook Elementary School', 'I Was Here', 'Salma Hayek and Frida Giannini']"
2,"When the U.S. entered World War II on December 8, 1941, many Montanans already had enlisted in the military to escape the poor national economy of the previous decade. Another 40,000-plus Montanans entered the armed forces in the first year following the declaration of war, and over 57,000 joined up before the war ended. These numbers constituted about 10 percent of the state's total population, and Montana again contributed one of the highest numbers of soldiers per capita of any state. Many Native Americans were among those who served, including soldiers from the Crow Nation who became Code Talkers. At least 1500 Montanans died in the war. Montana also was the training ground for the First Special Service Force or ""Devil's Brigade,"" a joint U.S-Canadian commando-style force that trained at Fort William Henry Harrison for experience in mountainous and winter conditions before deployment. Air bases were built in Great Falls, Lewistown, Cut Bank and Glasgow, some of which were used as staging areas to prepare planes to be sent to allied forces in the Soviet Union. During the war, about 30 Japanese balloon bombs were documented to have landed in Montana, though no casualties nor major forest fires were attributed to them.","['How many Montanans entered the miltary in the first year of the war?', 'How many Montanans joined the military in the war total?', 'About how many Montanans  died in the war?', 'Who trained at the military grounds in Montana?', 'Where were air bases built in Montana?']","['40,000-plus', 'over 57,000', 'At least 1500', 'First Special Service Force or ""Devil\'s Brigade,""', 'Great Falls, Lewistown, Cut Bank and Glasgow']"
3,"Other authors have focused on the structural conditions leading up to genocide and the psychological and social processes that create an evolution toward genocide. Ervin Staub showed that economic deterioration and political confusion and disorganization were starting points of increasing discrimination and violence in many instances of genocides and mass killing. They lead to scapegoating a group and ideologies that identified that group as an enemy. A history of devaluation of the group that becomes the victim, past violence against the group that becomes the perpetrator leading to psychological wounds, authoritarian cultures and political systems, and the passivity of internal and external witnesses (bystanders) all contribute to the probability that the violence develops into genocide. Intense conflict between groups that is unresolved, becomes intractable and violent can also lead to genocide. The conditions that lead to genocide provide guidance to early prevention, such as humanizing a devalued group, creating ideologies that embrace all groups, and activating bystander responses. There is substantial research to indicate how this can be done, but information is only slowly transformed into action.","['In the build-up to genocide, what have other authors focused on?', 'What processes are thought to create an evolution toward genocide?', 'Who revealed the starting points of this evolution to be economic deterioration and political confusion?', 'A history of what is just one factor that contributes to the probability of violence developing into genocide?', 'What is one preventive effort in circumventing conditions that lead to genocide?']","['structural conditions', 'psychological and social', 'Ervin Staub', 'devaluation of the group', 'humanizing a devalued group']"
4,"Possible improvements include clarification of clinical trial regulations by FDA. Furthermore, appropriate economic incentives could persuade pharmaceutical companies to invest in this endeavor. Antibiotic Development to Advance Patient Treatment (ADAPT) Act aims to fast track the drug development to combat the growing threat of 'superbugs'. Under this Act, FDA can approve antibiotics and antifungals treating life-threatening infections based on smaller clinical trials. The CDC will monitor the use of antibiotics and the emerging resistance, and publish the data. The FDA antibiotics labeling process, 'Susceptibility Test Interpretive Criteria for Microbial Organisms' or 'breakpoints', will provide accurate data to healthcare professionals. According to Allan Coukell, senior director for health programs at The Pew Charitable Trusts, ""By allowing drug developers to rely on smaller datasets, and clarifying FDA's authority to tolerate a higher level of uncertainty for these drugs when making a risk/benefit calculation, ADAPT would make the clinical trials more feasible.""","['Who regulates antibiotic approval?', 'What could help to spur pharmaceuticals to make new antibiotics?', 'What are resistant bacteria called in the media?', 'Who is a director at the Pew Charitable Trusts?']","['FDA', 'economic incentives', 'superbugs', 'Allan Coukell,']"
5,"Two of Chopin's long-standing pupils, Karol Mikuli (1821–1897) and Georges Mathias, were themselves piano teachers and passed on details of his playing to their own students, some of whom (such as Raoul Koczalski) were to make recordings of his music. Other pianists and composers influenced by Chopin's style include Louis Moreau Gottschalk, Édouard Wolff (1816–1880) and Pierre Zimmermann. Debussy dedicated his own 1915 piano Études to the memory of Chopin; he frequently played Chopin's music during his studies at the Paris Conservatoire, and undertook the editing of Chopin's piano music for the publisher Jacques Durand.","['Who dedicated his 1915 piano Études to Chopin?', ""For what publisher to Debussy edit Chopin's music for?"", ""Who was a student of Chopin's former students and actually recorded some Chopin music?"", 'What music did Debussy play a lot at the Paris Conservatoire?']","['Debussy', 'Jacques Durand', 'Raoul Koczalski', ""Chopin's""]"
6,"When the Dzungar Mongols attempted to spread their territory from what is now Xinjiang into Tibet, the Kangxi Emperor (r. 1661–1722) responded to Tibetan pleas for aid with his own expedition to Tibet, occupying Lhasa in 1720. By 1751, during the reign of the Qianlong Emperor (r. 1735–1796), a protectorate and permanent Qing dynasty garrison was established in Tibet. As of 1751, Albert Kolb writes that ""Chinese claims to suzerainty over Tibet date from this time.""","['Who tried to spread their territory into Tibet?', 'Who helped the Tibetan? ', 'When did the Kangxi Emperor occupy Lhasa?', 'When was The Qing dynasty garrison established in Tibet?', 'When did the Qianlong Emperor reign? ']","['the Dzungar Mongols', 'the Kangxi Emperor', '1720', '1751', '1735–1796']"
7,"All iPods except for the iPod Touch can function in ""disk mode"" as mass storage devices to store data files but this may not be the default behavior, and in the case of the iPod Touch, requires special software.[citation needed] If an iPod is formatted on a Mac OS computer, it uses the HFS+ file system format, which allows it to serve as a boot disk for a Mac computer. If it is formatted on Windows, the FAT32 format is used. With the release of the Windows-compatible iPod, the default file system used on the iPod line switched from HFS+ to FAT32, although it can be reformatted to either file system (excluding the iPod Shuffle which is strictly FAT32). Generally, if a new iPod (excluding the iPod Shuffle) is initially plugged into a computer running Windows, it will be formatted with FAT32, and if initially plugged into a Mac running Mac OS it will be formatted with HFS+.","['To work as a boot disk for a Mac, what file system must an iPod be formatted with?', 'If connected to a Windows PC when first set up, what file system will an iPod be formatted with?']","['HFS+', 'FAT32']"
8,"A Japan-exclusive manga series based on Twilight Princess, penned and illustrated by Akira Himekawa, was first released on February 8, 2016. The series is available solely via publisher Shogakukan's MangaOne mobile application. While the manga adaptation began almost ten years after the initial release of the game on which it is based, it launched only a month before the release of the high-definition remake.","['Who wrote and provided art for a Twilight Princess comic book series?', 'The Twilight Princess manga was only available in what country?', 'Who published the Twilight Princess comic book series?', 'What kind of device can access the Twilight Princess manga?']","['Akira Himekawa', 'Japan', 'Shogakukan', 'mobile']"
9,"A sequel to Spectre will begin development in spring 2016. Sam Mendes has stated he will not return to direct the next 007 film. Christoph Waltz has signed on for two more films in the series, but his return depends on whether or not Craig will again portray Bond.","[""Christoph Waltz's appearance in future Bond movies is contingent on the appearance of which other actor?"", 'When will work being on the follow-up to Spectre?', 'When will the sequel to Spectre being development?']","['Craig', 'spring 2016', 'spring 2016.']"
